DATE,Energy_Gwh
2007-01-01,10
2007-02-01,13
2007-03-01,22
2007-04-01,26
2007-05-01,36
2007-06-01,41
2007-07-01,52
2007-08-01,57
2007-09-01,60
2007-10-01,58
2007-11-01,54
2007-12-01,55
2008-01-01,60
2008-02-01,73
2008-03-01,109
2008-04-01,131
2008-05-01,137
2008-06-01,196
2008-07-01,240
2008-08-01,299
2008-09-01,328
2008-10-01,334
2008-11-01,335
2008-12-01,255
2009-01-01,261
2009-02-01,396
2009-03-01,529
2009-04-01,570
2009-05-01,672
2009-06-01,644
2009-07-01,717
2009-08-01,663
2009-09-01,512
2009-10-01,502
2009-11-01,362
2009-12-01,244
2010-01-01,263
2010-02-01,305
2010-03-01,482
2010-04-01,590
2010-05-01,711
2010-06-01,685
2010-07-01,786
2010-08-01,723
2010-09-01,631
2010-10-01,548
2010-11-01,382
2010-12-01,315
2011-01-01,351
2011-02-01,505
2011-03-01,537
2011-04-01,662
2011-05-01,749
2011-06-01,812
2011-07-01,860
2011-08-01,809
2011-09-01,736
2011-10-01,630
2011-11-01,365
2011-12-01,426
2012-01-01,505
2012-02-01,660
2012-03-01,770
2012-04-01,659
2012-05-01,864
2012-06-01,876
2012-07-01,942
2012-08-01,865
2012-09-01,692
2012-10-01,595
2012-11-01,372
2012-12-01,402
2013-01-01,446
2013-02-01,528
2013-03-01,567
2013-04-01,764
2013-05-01,873
2013-06-01,931
2013-07-01,975
2013-08-01,897
2013-09-01,760
2013-10-01,635
2013-11-01,514
2013-12-01,439
2014-01-01,378
2014-02-01,434
2014-03-01,736
2014-04-01,792
2014-05-01,925
2014-06-01,904
2014-07-01,952
2014-08-01,914
2014-09-01,687
2014-10-01,648
2014-11-01,385
2014-12-01,454
2015-01-01,518
2015-02-01,494
2015-03-01,713
2015-04-01,756
2015-05-01,924
2015-06-01,889
2015-07-01,933
2015-08-01,832
2015-09-01,722
2015-10-01,538
2015-11-01,530
2015-12-01,394
2016-01-01,364
2016-02-01,480
2016-03-01,709
2016-04-01,721
2016-05-01,807
2016-06-01,924
2016-07-01,919
2016-08-01,896
2016-09-01,766
2016-10-01,584
2016-11-01,427
2016-12-01,380
2017-01-01,476
2017-02-01,445
2017-03-01,717
2017-04-01,837
2017-05-01,873
2017-06-01,882
2017-07-01,918
2017-08-01,819
2017-09-01,776
2017-10-01,682
2017-11-01,541
2017-12-01,432
2018-01-01,445
2018-02-01,511
2018-03-01,591
2018-04-01,701
2018-05-01,813
2018-06-01,818
2018-07-01,934
2018-08-01,845
2018-09-01,720
2018-10-01,567
2018-11-01,375
2018-12-01,426
